Library_Name,Total_Reads,Unaligned_Reads,Uniquely_Aligned_Reads,Multiple_Aligned_Reads
LL201 , 16456938  ,     2149621  ,     13244249  ,     1063068 
LL202 , 17063135  ,     3140715  ,     12805383  ,     1117037 
LL203 , 15596232  ,     1805186  ,     12711723  ,     1079323 
LL204 , 17283317  ,     2722411  ,     13396005  ,     1164901 
LL205 , 79858995  ,     5719988  ,     68338415  ,     5800592 
LL206 , 17865063  ,     4498079  ,     12271741  ,     1095243 
LL207 , 29477308  ,     8669655  ,     19129838  ,     1677815 
LL208 , 145886361  ,     24689709  ,     110948318  ,     10248334 
LL209 , 13040135  ,     2455583  ,     9713045  ,     871507 
LL210 , 15616336  ,     3917002  ,     10754888  ,     944446 
LL211 , 15552997  ,     2039228  ,     12535682  ,     978087 
LL212 , 22565215  ,     1847770  ,     19192614  ,     1524831 
LL213 , 36384328  ,     3037091  ,     30825028  ,     2522209 
LL214 , 47338058  ,     3500026  ,     40483259  ,     3354773 
LL215 , 43614168  ,     13329328  ,     27773670  ,     2511170 
LL216 , 46991169  ,     15632393  ,     28776222  ,     2582554 
LL217 , 34430465  ,     5905745  ,     26223207  ,     2301513 
LL218 , 16657129  ,     3510652  ,     12047653  ,     1098824 
LL219 , 68744592  ,     14456248  ,     49618640  ,     4669704 
LL220 , 23487628  ,     8261712  ,     13884052  ,     1341864 
LL221 , 30050575  ,     1850856  ,     26200298  ,     1999421 
LL222 , 32528960  ,     3926681  ,     26425235  ,     2177044 
LL223 , 47885771  ,     6967996  ,     37689121  ,     3228654 
LL224 , 69490212  ,     5706976  ,     58762643  ,     5020593 
LL225 , 25755099  ,     1886515  ,     22034290  ,     1834294 
LL226 , 27515856  ,     5905759  ,     19842752  ,     1767345 
LL227 , 22957178  ,     5111673  ,     16289033  ,     1556472 
LL228 , 31077580  ,     5400202  ,     23476056  ,     2201322 
LL229 , 27860080  ,     6062934  ,     19989943  ,     1807203 
LL230 , 37157558  ,     6617025  ,     27998584  ,     2541949 
LL231 , 34323042  ,     7816148  ,     24240304  ,     2266590 
LL232 , 31336066  ,     4173697  ,     25022307  ,     2140062 
LL233 , 26892789  ,     1662404  ,     23284218  ,     1946167 
LL234 , 37668701  ,     3888679  ,     31063091  ,     2716931 
LL235 , 31377982  ,     3848216  ,     25226326  ,     2303440 
LL236 , 39630040  ,     10075338  ,     27009364  ,     2545338 
LL237 , 33860641  ,     5602363  ,     25872257  ,     2386021 
LL238 , 41003813  ,     7802809  ,     30334901  ,     2866103 
LL239 , 55123175  ,     16439049  ,     35259259  ,     3424867 
LL240 , 26855255  ,     6132531  ,     18935579  ,     1787145 
LL241 , 43303791  ,     2877554  ,     37381898  ,     3044339 
LL242 , 27732626  ,     2245207  ,     23481357  ,     2006062 
LL243 , 40994398  ,     4521450  ,     33481572  ,     2991376 
LL244 , 46214949  ,     14663645  ,     27928294  ,     3623010 
LL245 , 31895880  ,     6398398  ,     23412688  ,     2084794 
LL246 , 26358866  ,     6100229  ,     18471456  ,     1787181 
LL247 , 44792700  ,     8769560  ,     32817660  ,     3205480 
LL248 , 43978733  ,     9223997  ,     31614214  ,     3140522 
LL249 , 30965110  ,     7496548  ,     21303109  ,     2165453 
LL250 , 42160583  ,     10011145  ,     29177176  ,     2972262 
LL251 , 25722319  ,     3139243  ,     20801945  ,     1781131 
LL252 , 35951828  ,     5151892  ,     28372805  ,     2427131 
LL253 , 34642684  ,     6192097  ,     26045038  ,     2405549 
LL254 , 46605995  ,     5165509  ,     38053607  ,     3386879 
LL255 , 42044820  ,     5656891  ,     33439972  ,     2947957 
LL256 , 38614715  ,     8304745  ,     27744583  ,     2565387 
LL257 , 41968108  ,     11756582  ,     27616144  ,     2595382 
LL258 , 45178585  ,     8680416  ,     33252880  ,     3245289 
LL259 , 36300465  ,     9364408  ,     24429229  ,     2506828 
LL260 , 28246667  ,     5634088  ,     20566193  ,     2046386 
LL261 , 35418889  ,     5572110  ,     27580501  ,     2266278 
LL262 , 41305621  ,     6704371  ,     31801025  ,     2800225 
LL263 , 41285421  ,     21252643  ,     18342718  ,     1690060 
LL264 , 32838372  ,     5947812  ,     24645679  ,     2244881 
LL265 , 37441241  ,     4470131  ,     30280981  ,     2690129 
LL266 , 25798045  ,     4456784  ,     19575626  ,     1765635 
LL267 , 33573352  ,     9691111  ,     21690528  ,     2191713 
LL268 , 42944156  ,     8100504  ,     31752278  ,     3091374 
LL269 , 45893937  ,     11748330  ,     31054321  ,     3091286 
LL270 , 33038047  ,     8402557  ,     22422806  ,     2212684 
LL271 , 46831243  ,     6132876  ,     37550376  ,     3147991 
LL272 , 45348235  ,     3271171  ,     38793103  ,     3283961 
LL273 , 31369725  ,     2231048  ,     26856294  ,     2282383 
LL274 , 43245888  ,     5950579  ,     34297526  ,     2997783 
LL275 , 23906390  ,     4489990  ,     17728385  ,     1688015 
LL276 , 26970509  ,     5533456  ,     19600478  ,     1836575 
LL277 , 30849589  ,     6317378  ,     22398384  ,     2133827 
LL278 , 32656154  ,     5521616  ,     24739495  ,     2395043 
LL279 , 40773473  ,     8091463  ,     29810288  ,     2871722 
LL280 , 40727248  ,     9052428  ,     28823584  ,     2851236 
