Library_Name,Total_Reads,Unaligned_Reads,Uniquely_Aligned_Reads,Multiple_Aligned_Reads
LL201 , 16456938  ,     3793367  ,     11497882  ,     1165689 
LL202 , 17063135  ,     4736993  ,     11136965  ,     1189177 
LL203 , 15596232  ,     3339024  ,     11073572  ,     1183636 
LL204 , 17283317  ,     4346716  ,     11680837  ,     1255764 
LL205 , 79858995  ,     13752514  ,     59691054  ,     6415427 
LL206 , 17865063  ,     2893427  ,     13610103  ,     1361533 
LL207 , 29477308  ,     6045763  ,     21313608  ,     2117937 
LL208 , 145886361  ,     10486269  ,     122643231  ,     12756861 
LL209 , 13040135  ,     1203886  ,     10749655  ,     1086594 
LL210 , 15616336  ,     2431934  ,     12003333  ,     1181069 
LL211 , 15552997  ,     3563139  ,     10894897  ,     1094961 
LL212 , 22565215  ,     4158176  ,     16705204  ,     1701835 
LL213 , 36384328  ,     6764567  ,     26797251  ,     2822510 
LL214 , 47338058  ,     8311260  ,     35260501  ,     3766297 
LL215 , 43614168  ,     16709309  ,     24230590  ,     2674269 
LL216 , 46991169  ,     11932936  ,     31925145  ,     3133088 
LL217 , 34430465  ,     2665345  ,     28914509  ,     2850611 
LL218 , 16657129  ,     1979234  ,     13321565  ,     1356330 
LL219 , 68744592  ,     8096631  ,     54943458  ,     5704503 
LL220 , 23487628  ,     6427287  ,     15451460  ,     1608881 
LL221 , 30050575  ,     5136253  ,     22646700  ,     2267622 
LL222 , 32528960  ,     7204250  ,     22919843  ,     2404867 
LL223 , 47885771  ,     11560763  ,     32821233  ,     3503775 
LL224 , 69490212  ,     12832356  ,     51176381  ,     5481475 
LL225 , 25755099  ,     4517092  ,     19211293  ,     2026714 
LL226 , 27515856  ,     3398066  ,     21960577  ,     2157213 
LL227 , 22957178  ,     3043865  ,     18043207  ,     1870106 
LL228 , 31077580  ,     2477081  ,     25917236  ,     2683263 
LL229 , 27860080  ,     3375599  ,     22254018  ,     2230463 
LL230 , 37157558  ,     2908697  ,     31091835  ,     3157026 
LL231 , 34323042  ,     11079657  ,     20907972  ,     2335413 
LL232 , 31336066  ,     7380885  ,     21633799  ,     2321382 
LL233 , 26892789  ,     4453261  ,     20274429  ,     2165099 
LL234 , 37668701  ,     7592578  ,     27110828  ,     2965295 
LL235 , 31377982  ,     6967476  ,     21960697  ,     2449809 
LL236 , 39630040  ,     6615126  ,     29926480  ,     3088434 
LL237 , 33860641  ,     2281915  ,     28658267  ,     2920459 
LL238 , 41003813  ,     3858883  ,     33641945  ,     3502985 
LL239 , 55123175  ,     11863549  ,     39111775  ,     4147851 
LL240 , 26855255  ,     3593481  ,     21086528  ,     2175246 
LL241 , 43303791  ,     7507658  ,     32488678  ,     3307455 
LL242 , 27732626  ,     5226518  ,     20343239  ,     2162869 
LL243 , 40994398  ,     8717689  ,     29078584  ,     3198125 
LL244 , 46214949  ,     18703325  ,     24134559  ,     3377065 
LL245 , 31895880  ,     9437628  ,     20268258  ,     2189994 
LL246 , 26358866  ,     3613191  ,     20625102  ,     2120573 
LL247 , 44792700  ,     4450117  ,     36534147  ,     3808436 
LL248 , 43978733  ,     5041200  ,     35291175  ,     3646358 
LL249 , 30965110  ,     4644087  ,     23814526  ,     2506497 
LL250 , 42160583  ,     5967599  ,     32777932  ,     3415052 
LL251 , 25722319  ,     5693330  ,     18098896  ,     1930093 
LL252 , 35951828  ,     8711988  ,     24629644  ,     2610196 
LL253 , 34642684  ,     9501116  ,     22604969  ,     2536599 
LL254 , 46605995  ,     9886143  ,     33111399  ,     3608453 
LL255 , 42044820  ,     9726644  ,     29166453  ,     3151723 
LL256 , 38614715  ,     4450659  ,     31077465  ,     3086591 
LL257 , 41968108  ,     7961582  ,     30884642  ,     3121884 
LL258 , 45178585  ,     4294177  ,     37059377  ,     3825031 
LL259 , 36300465  ,     6071446  ,     27336485  ,     2892534 
LL260 , 28246667  ,     2891296  ,     22977942  ,     2377429 
LL261 , 35418889  ,     9266865  ,     23690880  ,     2461144 
LL262 , 41305621  ,     10806764  ,     27508275  ,     2990582 
LL263 , 41285421  ,     23486459  ,     16025682  ,     1773280 
LL264 , 32838372  ,     9033895  ,     21437108  ,     2367369 
LL265 , 37441241  ,     8221279  ,     26351709  ,     2868253 
LL266 , 25798045  ,     1994852  ,     21673532  ,     2129661 
LL267 , 33573352  ,     6936713  ,     24069436  ,     2567203 
LL268 , 42944156  ,     4149376  ,     35154835  ,     3639945 
LL269 , 45893937  ,     7707928  ,     34561227  ,     3624782 
LL270 , 33038047  ,     5541722  ,     24886083  ,     2610242 
LL271 , 46831243  ,     10942533  ,     32478439  ,     3410271 
LL272 , 45348235  ,     8307184  ,     33468146  ,     3572905 
LL273 , 31369725  ,     5487167  ,     23385760  ,     2496798 
LL274 , 43245888  ,     10142944  ,     29879927  ,     3223017 
LL275 , 23906390  ,     6645682  ,     15496229  ,     1764479 
LL276 , 26970509  ,     3079218  ,     21685327  ,     2205964 
LL277 , 30849589  ,     3435617  ,     24858358  ,     2555614 
LL278 , 32656154  ,     2455738  ,     27338787  ,     2861629 
LL279 , 40773473  ,     4364417  ,     32969632  ,     3439424 
LL280 , 40727248  ,     5389380  ,     31946947  ,     3390921 
