Library_Name,Genotype,Section,Harvest_Date,Rep,Year,Location_Of_Silk
LL201,B73,E,7/30/2014,1,2014,Emerged
LL202,B73,D,7/30/2014,1,2014,Emerged
LL203,B73,C,7/30/2014,1,2014,Husk-Encased
LL204,B73,B,7/30/2014,1,2014,Husk-Encased
LL205,B73,A,7/30/2014,1,2014,Husk-Encased
LL206,Mo17,E,7/30/2014,1,2014,Emerged
LL207,Mo17,D,7/30/2014,1,2014,Emerged
LL208,Mo17,C,7/30/2014,1,2014,Husk-Encased
LL209,Mo17,B,7/30/2014,1,2014,Husk-Encased
LL210,Mo17,A,7/30/2014,1,2014,Husk-Encased
LL211,B73,E,7/30/2014,2,2014,Emerged
LL212,B73,D,7/30/2014,2,2014,Emerged
LL213,B73,C,7/30/2014,2,2014,Husk-Encased
LL214,B73,B,7/30/2014,2,2014,Husk-Encased
LL215,B73,A,7/30/2014,2,2014,Husk-Encased
LL216,Mo17,E,7/30/2014,2,2014,Emerged
LL217,Mo17,D,7/30/2014,2,2014,Emerged
LL218,Mo17,C,7/30/2014,2,2014,Husk-Encased
LL219,Mo17,B,7/30/2014,2,2014,Husk-Encased
LL220,Mo17,A,7/30/2014,2,2014,Husk-Encased
LL221,B73,E,7/30/2014,3,2014,Emerged
LL222,B73,D,7/30/2014,3,2014,Emerged
LL223,B73,C,7/30/2014,3,2014,Husk-Encased
LL224,B73,B,7/30/2014,3,2014,Husk-Encased
LL225,B73,A,7/30/2014,3,2014,Husk-Encased
LL226,Mo17,E,7/30/2014,3,2014,Emerged
LL227,Mo17,D,7/30/2014,3,2014,Emerged
LL228,Mo17,C,7/30/2014,3,2014,Husk-Encased
LL229,Mo17,B,7/30/2014,3,2014,Husk-Encased
LL230,Mo17,A,7/30/2014,3,2014,Husk-Encased
LL231,B73,E,7/30/2014,4,2014,Emerged
LL232,B73,D,7/30/2014,4,2014,Emerged
LL233,B73,C,7/30/2014,4,2014,Husk-Encased
LL234,B73,B,7/30/2014,4,2014,Husk-Encased
LL235,B73,A,7/30/2014,4,2014,Husk-Encased
LL236,Mo17,E,7/30/2014,4,2014,Emerged
LL237,Mo17,D,7/30/2014,4,2014,Emerged
LL238,Mo17,C,7/30/2014,4,2014,Husk-Encased
LL239,Mo17,B,7/30/2014,4,2014,Husk-Encased
LL240,Mo17,A,7/30/2014,4,2014,Husk-Encased
LL241,B73,E,7/30/2015,1,2015,Emerged
LL242,B73,D,7/30/2015,1,2015,Emerged
LL243,B73,C,7/30/2015,1,2015,Husk-Encased
LL244,B73,B,7/30/2015,1,2015,Husk-Encased
LL245,B73,A,7/30/2015,1,2015,Husk-Encased
LL246,Mo17,E,8/2/2015,1,2015,Emerged
LL247,Mo17,D,8/2/2015,1,2015,Emerged
LL248,Mo17,C,8/2/2015,1,2015,Husk-Encased
LL249,Mo17,B,8/2/2015,1,2015,Husk-Encased
LL250,Mo17,A,8/2/2015,1,2015,Husk-Encased
LL251,B73,E,7/30/2015,2,2015,Emerged
LL252,B73,D,7/30/2015,2,2015,Emerged
LL253,B73,C,7/30/2015,2,2015,Husk-Encased
LL254,B73,B,7/30/2015,2,2015,Husk-Encased
LL255,B73,A,7/30/2015,2,2015,Husk-Encased
LL256,Mo17,E,8/2/2015,2,2015,Emerged
LL257,Mo17,D,8/2/2015,2,2015,Emerged
LL258,Mo17,C,8/2/2015,2,2015,Husk-Encased
LL259,Mo17,B,8/2/2015,2,2015,Husk-Encased
LL260,Mo17,A,8/2/2015,2,2015,Husk-Encased
LL261,B73,E,7/31/2015,3,2015,Emerged
LL262,B73,D,7/31/2015,3,2015,Emerged
LL263,B73,C,7/31/2015,3,2015,Husk-Encased
LL264,B73,B,7/31/2015,3,2015,Husk-Encased
LL265,B73,A,7/31/2015,3,2015,Husk-Encased
LL266,Mo17,E,8/4/2015,3,2015,Emerged
LL267,Mo17,D,8/4/2015,3,2015,Emerged
LL268,Mo17,C,8/4/2015,3,2015,Husk-Encased
LL269,Mo17,B,8/4/2015,3,2015,Husk-Encased
LL270,Mo17,A,8/4/2015,3,2015,Husk-Encased
LL271,B73,E,7/31/2015,4,2015,Emerged
LL272,B73,D,7/31/2015,4,2015,Emerged
LL273,B73,C,7/31/2015,4,2015,Husk-Encased
LL274,B73,B,7/31/2015,4,2015,Husk-Encased
LL275,B73,A,7/31/2015,4,2015,Husk-Encased
LL276,Mo17,E,8/4/2015,4,2015,Emerged
LL277,Mo17,D,8/4/2015,4,2015,Emerged
LL278,Mo17,C,8/4/2015,4,2015,Husk-Encased
LL279,Mo17,B,8/4/2015,4,2015,Husk-Encased
LL280,Mo17,A,8/4/2015,4,2015,Husk-Encased
