Category,Order,New_Module,Locus,Gene_Description,B73_GeneID,Mo17_GeneID
Light harvesting complex,1,Cluster 23,Lhcb2,Chlorophyll a-b binding protein 1%2C chloroplastic  ,Zm00001d021435,Zm00014a018652
Light harvesting complex,2,Cluster 23,Lhcb3,Chlorophyll a-b binding protein M9%2C chloroplastic  ,Zm00001d009589,Zm00014a020159
Light harvesting complex,3,Cluster 23,Lhcb5, lhcb5;light harvesting chlorophyll a/b binding protein5:,Zm00001d007267,Zm00014a010821
Light harvesting complex,4,Cluster 23,Lhcb6, lhcb6;light harvesting chlorophyll a/b binding protein6:,Zm00001d026599,Zm00014a017319
Light harvesting complex,5,Cluster 23,Lhcb7,Light harvesting complex mesophyll7  ,Zm00001d039040,Zm00014a015887
Light harvesting complex,6,Cluster 23,Lhcb10,photosystem II light harvesting complex gene B1B2,Zm00001d011285,Zm00014a034693
Photosystem I,7,Cluster 26,Psa1, psa1;photosystemI1: Required for PSI accumulation. Harbors NifU domain implicated in Fe-S cluster assembly. Ortholog of Arabidopsis Nfu-IVa. (A. Barkan,Zm00001d036521,Zm00014a008531
Photosystem I,8,Cluster 23,Psa6, psa6;photosystem I reaction center6: leaf cDNA csu67,Zm00001d018797,Zm00014a001791
Photosystem I,9,Cluster 25,Psad1, psad1;photosystem I subunit d1: Designated from Zhao,Zm00001d013039,Zm00014a002120
Photosystem I,10,Cluster 25,Psah1, psah1;photosystem I H subunit1: cDNA sequence from csu686,Zm00001d038984,Zm00014a015846
Photosystem I,11,Cluster 23,Psan1, psan1;photosystem I N subunit1: cDNA sequence derived from csu517,Zm00001d041819,Zm00014a031787
Photosystem I,12,Cluster 23,Psan2,Photosystem I reaction center subunit N  ,Zm00001d023713,Zm00014a005631
Photosystem II,13,Cluster 23,Pspb2, pspb2;photosystem II oxygen evolving polypeptide2: sequence highly similar to OEC23 oxygen evolving complex protein of photosystem II; located peripheral to lumenal side of thylakoid (Huang et al 2013),Zm00001d018779,Zm00014a001800
Photosystem II,14,Cluster 23,Psb29, psb29;photosystem II subunit29:,Zm00001d021763,Zm00014a021027
Cytb6f,15,Cluster 26,Ccs1, ccs1;C-type cytochrome synthesis protein1: Ortholog of CCS1. Required for cytb6f assembly. (A. Barkan,Zm00001d034196,Zm00014a002914
Ferredoxin,16,Cluster 24,Fdx1, fdx1;ferredoxin1: chloroplast,Zm00001d035001,Zm00014a007848
Plastoquinone,17,Cluster 25,Apg1, apg1;albino or pale green mutant1: MPBQ/MSBQ methyltransferase involved in plastoquinone synthesis. (A. Barkan,Zm00001d031071,Zm00014a005441
