GeneID,Experiment,Expression_Change
Zm00001d000143,Salicylic acid,Decreases under treatment
Zm00001d000196,Salicylic acid,Decreases under treatment
Zm00001d000237,Salicylic acid,Decreases under treatment
Zm00001d000294,Salicylic acid,Increases under treatment
Zm00001d000339,Salicylic acid,Increases under treatment
Zm00001d001832,Salicylic acid,Increases under treatment
Zm00001d001862,Salicylic acid,Increases under treatment
Zm00001d001865,Salicylic acid,Decreases under treatment
Zm00001d001939,Salicylic acid,Increases under treatment
Zm00001d001989,Salicylic acid,Increases under treatment
Zm00001d002037,Salicylic acid,Increases under treatment
Zm00001d002064,Salicylic acid,Increases under treatment
Zm00001d002136,Salicylic acid,Decreases under treatment
Zm00001d002167,Salicylic acid,Increases under treatment
Zm00001d002186,Salicylic acid,Increases under treatment
Zm00001d002200,Salicylic acid,Increases under treatment
Zm00001d002287,Salicylic acid,Increases under treatment
Zm00001d002295,Salicylic acid,Increases under treatment
Zm00001d002302,Salicylic acid,Increases under treatment
Zm00001d002342,Salicylic acid,Increases under treatment
Zm00001d002346,Salicylic acid,Increases under treatment
Zm00001d002350,Salicylic acid,Decreases under treatment
Zm00001d002364,Salicylic acid,Increases under treatment
Zm00001d002372,Salicylic acid,Increases under treatment
Zm00001d002436,Salicylic acid,Increases under treatment
Zm00001d002476,Salicylic acid,Increases under treatment
Zm00001d002530,Salicylic acid,Decreases under treatment
Zm00001d002535,Salicylic acid,Decreases under treatment
Zm00001d002536,Salicylic acid,Increases under treatment
Zm00001d002564,Salicylic acid,Increases under treatment
Zm00001d002592,Salicylic acid,Increases under treatment
Zm00001d002799,Salicylic acid,Increases under treatment
Zm00001d002837,Salicylic acid,Increases under treatment
Zm00001d002847,Salicylic acid,Increases under treatment
Zm00001d002850,Salicylic acid,Increases under treatment
Zm00001d003015,Salicylic acid,Increases under treatment
Zm00001d003041,Salicylic acid,Decreases under treatment
Zm00001d003064,Salicylic acid,Increases under treatment
Zm00001d003101,Salicylic acid,Increases under treatment
Zm00001d003140,Salicylic acid,Increases under treatment
Zm00001d003161,Salicylic acid,Decreases under treatment
Zm00001d003188,Salicylic acid,Increases under treatment
Zm00001d003190,Salicylic acid,Increases under treatment
Zm00001d003197,Salicylic acid,Increases under treatment
Zm00001d003227,Salicylic acid,Decreases under treatment
Zm00001d003287,Salicylic acid,Increases under treatment
Zm00001d003422,Salicylic acid,Decreases under treatment
Zm00001d003434,Salicylic acid,Increases under treatment
Zm00001d003524,Salicylic acid,Increases under treatment
Zm00001d003545,Salicylic acid,Increases under treatment
Zm00001d003598,Salicylic acid,Decreases under treatment
Zm00001d003603,Salicylic acid,Increases under treatment
Zm00001d003614,Salicylic acid,Increases under treatment
Zm00001d003643,Salicylic acid,Increases under treatment
Zm00001d003668,Salicylic acid,Increases under treatment
Zm00001d003799,Salicylic acid,Decreases under treatment
Zm00001d003867,Salicylic acid,Increases under treatment
Zm00001d003884,Salicylic acid,Increases under treatment
Zm00001d003954,Salicylic acid,Decreases under treatment
Zm00001d004019,Salicylic acid,Increases under treatment
Zm00001d004138,Salicylic acid,Increases under treatment
Zm00001d004203,Salicylic acid,Increases under treatment
Zm00001d004232,Salicylic acid,Increases under treatment
Zm00001d004237,Salicylic acid,Decreases under treatment
Zm00001d004342,Salicylic acid,Increases under treatment
Zm00001d004348,Salicylic acid,Increases under treatment
Zm00001d004380,Salicylic acid,Increases under treatment
Zm00001d004443,Salicylic acid,Increases under treatment
Zm00001d004452,Salicylic acid,Decreases under treatment
Zm00001d004524,Salicylic acid,Increases under treatment
Zm00001d004690,Salicylic acid,Decreases under treatment
Zm00001d004716,Salicylic acid,Increases under treatment
Zm00001d004744,Salicylic acid,Increases under treatment
Zm00001d004754,Salicylic acid,Increases under treatment
Zm00001d004758,Salicylic acid,Increases under treatment
Zm00001d004768,Salicylic acid,Increases under treatment
Zm00001d004921,Salicylic acid,Increases under treatment
Zm00001d005051,Salicylic acid,Increases under treatment
Zm00001d005158,Salicylic acid,Increases under treatment
Zm00001d005250,Salicylic acid,Increases under treatment
Zm00001d005391,Salicylic acid,Increases under treatment
Zm00001d005392,Salicylic acid,Increases under treatment
Zm00001d005394,Salicylic acid,Increases under treatment
Zm00001d005451,Salicylic acid,Increases under treatment
Zm00001d005542,Salicylic acid,Increases under treatment
Zm00001d005570,Salicylic acid,Increases under treatment
Zm00001d005609,Salicylic acid,Increases under treatment
Zm00001d005680,Salicylic acid,Increases under treatment
Zm00001d005684,Salicylic acid,Increases under treatment
Zm00001d005741,Salicylic acid,Increases under treatment
Zm00001d005769,Salicylic acid,Increases under treatment
Zm00001d005888,Salicylic acid,Increases under treatment
Zm00001d005889,Salicylic acid,Decreases under treatment
Zm00001d005978,Salicylic acid,Increases under treatment
Zm00001d006069,Salicylic acid,Increases under treatment
Zm00001d006115,Salicylic acid,Increases under treatment
Zm00001d006117,Salicylic acid,Increases under treatment
Zm00001d006193,Salicylic acid,Decreases under treatment
Zm00001d006199,Salicylic acid,Increases under treatment
Zm00001d006217,Salicylic acid,Increases under treatment
Zm00001d006256,Salicylic acid,Increases under treatment
Zm00001d006274,Salicylic acid,Increases under treatment
Zm00001d006329,Salicylic acid,Increases under treatment
Zm00001d006330,Salicylic acid,Increases under treatment
Zm00001d006361,Salicylic acid,Decreases under treatment
Zm00001d006526,Salicylic acid,Increases under treatment
Zm00001d006535,Salicylic acid,Increases under treatment
Zm00001d006538,Salicylic acid,Increases under treatment
Zm00001d006646,Salicylic acid,Increases under treatment
Zm00001d006753,Salicylic acid,Increases under treatment
Zm00001d006875,Salicylic acid,Decreases under treatment
Zm00001d006910,Salicylic acid,Decreases under treatment
Zm00001d007012,Salicylic acid,Decreases under treatment
Zm00001d007079,Salicylic acid,Increases under treatment
Zm00001d007123,Salicylic acid,Increases under treatment
Zm00001d007180,Salicylic acid,Increases under treatment
Zm00001d007184,Salicylic acid,Increases under treatment
Zm00001d007187,Salicylic acid,Increases under treatment
Zm00001d007191,Salicylic acid,Increases under treatment
Zm00001d007251,Salicylic acid,Increases under treatment
Zm00001d007312,Salicylic acid,Increases under treatment
Zm00001d007417,Salicylic acid,Decreases under treatment
Zm00001d007445,Salicylic acid,Decreases under treatment
Zm00001d007462,Salicylic acid,Increases under treatment
Zm00001d007714,Salicylic acid,Increases under treatment
Zm00001d007753,Salicylic acid,Increases under treatment
Zm00001d007830,Salicylic acid,Increases under treatment
Zm00001d007831,Salicylic acid,Increases under treatment
Zm00001d007838,Salicylic acid,Decreases under treatment
Zm00001d007901,Salicylic acid,Increases under treatment
Zm00001d007918,Salicylic acid,Increases under treatment
Zm00001d007977,Salicylic acid,Increases under treatment
Zm00001d008210,Salicylic acid,Increases under treatment
Zm00001d008278,Salicylic acid,Increases under treatment
Zm00001d008295,Salicylic acid,Increases under treatment
Zm00001d008399,Salicylic acid,Increases under treatment
Zm00001d008485,Salicylic acid,Increases under treatment
Zm00001d008495,Salicylic acid,Increases under treatment
Zm00001d008548,Salicylic acid,Increases under treatment
Zm00001d008604,Salicylic acid,Increases under treatment
Zm00001d008635,Salicylic acid,Increases under treatment
Zm00001d008651,Salicylic acid,Increases under treatment
Zm00001d008756,Salicylic acid,Increases under treatment
Zm00001d008794,Salicylic acid,Increases under treatment
Zm00001d008795,Salicylic acid,Increases under treatment
Zm00001d008800,Salicylic acid,Increases under treatment
Zm00001d008862,Salicylic acid,Increases under treatment
Zm00001d008923,Salicylic acid,Increases under treatment
Zm00001d009057,Salicylic acid,Increases under treatment
Zm00001d009116,Salicylic acid,Increases under treatment
Zm00001d009123,Salicylic acid,Decreases under treatment
Zm00001d009146,Salicylic acid,Increases under treatment
Zm00001d009295,Salicylic acid,Increases under treatment
Zm00001d009328,Salicylic acid,Increases under treatment
Zm00001d009404,Salicylic acid,Decreases under treatment
Zm00001d009409,Salicylic acid,Decreases under treatment
Zm00001d009473,Salicylic acid,Increases under treatment
Zm00001d009487,Salicylic acid,Increases under treatment
Zm00001d009567,Salicylic acid,Increases under treatment
Zm00001d009599,Salicylic acid,Decreases under treatment
Zm00001d009687,Salicylic acid,Increases under treatment
Zm00001d009775,Salicylic acid,Increases under treatment
Zm00001d009795,Salicylic acid,Increases under treatment
Zm00001d009797,Salicylic acid,Increases under treatment
Zm00001d009899,Salicylic acid,Increases under treatment
Zm00001d009908,Salicylic acid,Increases under treatment
Zm00001d009960,Salicylic acid,Increases under treatment
Zm00001d010010,Salicylic acid,Increases under treatment
Zm00001d010131,Salicylic acid,Increases under treatment
Zm00001d010190,Salicylic acid,Increases under treatment
Zm00001d010201,Salicylic acid,Increases under treatment
Zm00001d010344,Salicylic acid,Increases under treatment
Zm00001d010358,Salicylic acid,Increases under treatment
Zm00001d010360,Salicylic acid,Increases under treatment
Zm00001d010373,Salicylic acid,Increases under treatment
Zm00001d010385,Salicylic acid,Increases under treatment
Zm00001d010406,Salicylic acid,Increases under treatment
Zm00001d010411,Salicylic acid,Decreases under treatment
Zm00001d010520,Salicylic acid,Increases under treatment
Zm00001d010545,Salicylic acid,Increases under treatment
Zm00001d010662,Salicylic acid,Increases under treatment
Zm00001d010667,Salicylic acid,Decreases under treatment
Zm00001d010670,Salicylic acid,Increases under treatment
Zm00001d010671,Salicylic acid,Increases under treatment
Zm00001d010693,Salicylic acid,Decreases under treatment
Zm00001d010870,Salicylic acid,Increases under treatment
Zm00001d010957,Salicylic acid,Decreases under treatment
Zm00001d011080,Salicylic acid,Increases under treatment
Zm00001d011193,Salicylic acid,Increases under treatment
Zm00001d011311,Salicylic acid,Decreases under treatment
Zm00001d011393,Salicylic acid,Increases under treatment
Zm00001d011413,Salicylic acid,Increases under treatment
Zm00001d011417,Salicylic acid,Increases under treatment
