GeneID,TF_Family,TFID
Zm00001d042396,ABI3-VP1,ABI1
Zm00001d026694,ABI3-VP1,ABI10
Zm00001d002562,ABI3-VP1,ABI12
Zm00001d049369,ABI3-VP1,ABI14
Zm00001d044676,ABI3-VP1,ABI15
Zm00001d017618,ABI3-VP1,ABI16
Zm00001d003601,ABI3-VP1,ABI17
Zm00001d013723,ABI3-VP1,ABI18
Zm00001d011712,ABI3-VP1,ABI19
Zm00001d026005,ABI3-VP1,ABI2
Zm00001d011745,ABI3-VP1,ABI20
Zm00001d025233,ABI3-VP1,ABI21
Zm00001d021790,ABI3-VP1,ABI22
Zm00001d024545,ABI3-VP1,ABI23
Zm00001d033324,ABI3-VP1,ABI25
Zm00001d024354,ABI3-VP1,ABI26
Zm00001d031225,ABI3-VP1,ABI27
Zm00001d004358,ABI3-VP1,ABI28
Zm00001d036079,ABI3-VP1,ABI29
Zm00001d001838,ABI3-VP1,ABI3
Zm00001d033314,ABI3-VP1,ABI30
Zm00001d042460,ABI3-VP1,ABI31
Zm00001d022440,ABI3-VP1,ABI32
Zm00001d011639,ABI3-VP1,ABI33
Zm00001d029749,ABI3-VP1,ABI34
Zm00001d017112,ABI3-VP1,ABI35
Zm00001d049094,ABI3-VP1,ABI36
Zm00001d035903,ABI3-VP1,ABI37
Zm00001d047359,ABI3-VP1,ABI38
Zm00001d007173,ABI3-VP1,ABI39
Zm00001d033313,ABI3-VP1,ABI4
Zm00001d052591,ABI3-VP1,ABI40
Zm00001d023446,ABI3-VP1,ABI41
Zm00001d010077,ABI3-VP1,ABI42
Zm00001d048244,ABI3-VP1,ABI43
Zm00001d024103,ABI3-VP1,ABI44
Zm00001d038504,ABI3-VP1,ABI45
Zm00001d030907,ABI3-VP1,ABI46
Zm00001d052750,ABI3-VP1,ABI47
Zm00001d044355,ABI3-VP1,ABI48
Zm00001d034965,ABI3-VP1,ABI49
Zm00001d013722,ABI3-VP1,ABI5
Zm00001d024321,ABI3-VP1,ABI51
Zm00001d027939,ABI3-VP1,ABI7
Zm00001d027409,ABI3-VP1,ABI8
Zm00001d030908,ABI3-VP1,ABI9
Zm00001d037537,Alfin-like,ALF1
Zm00001d025504,Alfin-like,ALF10
Zm00001d010241,Alfin-like,ALF11
Zm00001d008646,Alfin-like,ALF12
Zm00001d042582,Alfin-like,ALF13
Zm00001d025491,Alfin-like,ALF14
Zm00001d034627,Alfin-like,ALF15
Zm00001d025492,Alfin-like,ALF16
Zm00001d012979,Alfin-like,ALF17
Zm00001d049007,Alfin-like,ALF18
Zm00001d005185,Alfin-like,ALF19
Zm00001d016861,Alfin-like,ALF2
Zm00001d022110,Alfin-like,ALF3
Zm00001d041767,Alfin-like,ALF4
Zm00001d038208,Alfin-like,ALF5
Zm00001d023962,Alfin-like,ALF6
Zm00001d050816,Alfin-like,ALF7
Zm00001d012196,Alfin-like,ALF8
Zm00001d010834,Alfin-like,ALF9
Zm00001d031522,ARF,ARF1
Zm00001d042267,ARF,ARF10
Zm00001d043431,ARF,ARF11
Zm00001d043922,ARF,ARF12
Zm00001d049295,ARF,ARF13
Zm00001d050781,ARF,ARF14
Zm00001d051172,ARF,ARF15
Zm00001d053819,ARF,ARF16
Zm00001d014013,ARF,ARF17
Zm00001d014377,ARF,ARF18
Zm00001d032683,ARF,ARF2
Zm00001d015243,ARF,ARF20
Zm00001d000358,ARF,ARF21
Zm00001d036593,ARF,ARF22
Zm00001d038698,ARF,ARF23
Zm00001d039006,ARF,ARF24
Zm00001d011953,ARF,ARF25
Zm00001d012731,ARF,ARF26
Zm00001d045026,ARF,ARF27
Zm00001d023659,ARF,ARF28
Zm00001d026540,ARF,ARF29
Zm00001d001879,ARF,ARF3
Zm00001d026590,ARF,ARF30
Zm00001d026687,ARF,ARF31
Zm00001d030803,ARF,ARF32
Zm00001d030801,ARF,ARF33
Zm00001d031064,ARF,ARF34
Zm00001d014690,ARF,ARF35
Zm00001d016838,ARF,ARF36
Zm00001d019539,ARF,ARF37
Zm00001d025871,ARF,ARF38
Zm00001d001945,ARF,ARF4
Zm00001d002929,ARF,ARF5
Zm00001d003011,ARF,ARF6
Zm00001d039267,ARF,ARF7
Zm00001d041056,ARF,ARF8
Zm00001d041497,ARF,ARF9
Zm00001d032832,ARID,ARID1
Zm00001d046719,ARID,ARID10
Zm00001d005794,ARID,ARID2
Zm00001d051632,ARID,ARID3
Zm00001d017831,ARID,ARID5
Zm00001d016456,ARID,ARID6
Zm00001d014900,ARID,ARID7
Zm00001d036790,ARID,ARID8
Zm00001d048046,ARR-B,ARR1
Zm00001d045112,ARR-B,ARR2
Zm00001d028265,ARR-B,ARR3
Zm00001d046755,ARR-B,ARR4
Zm00001d014723,ARR-B,ARR5
Zm00001d042463,ARR-B,ARR6
Zm00001d012128,ARR-B,ARR7
Zm00001d018380,ARR-B,ARR8
Zm00001d031572,BBR/BPC,BBR1
Zm00001d005160,BBR/BPC,BBR2
Zm00001d049800,BBR/BPC,BBR3
Zm00001d045477,BBR/BPC,BBR4
Zm00001d026147,bHLH,bHLH1
Zm00001d045107,bHLH,bHLH10
Zm00001d025205,bHLH,bHLH100
Zm00001d004007,bHLH,bHLH101
Zm00001d025462,bHLH,bHLH102
Zm00001d033957,bHLH,bHLH103
Zm00001d039764,bHLH,bHLH104
Zm00001d020790,bHLH,bHLH105
Zm00001d020834,bHLH,bHLH106
Zm00001d020763,bHLH,bHLH107
Zm00001d025141,bHLH,bHLH108
Zm00001d021164,bHLH,bHLH109
Zm00001d051569,bHLH,bHLH11
Zm00001d027753,bHLH,bHLH110
Zm00001d030232,bHLH,bHLH111
Zm00001d031441,bHLH,bHLH112
Zm00001d050016,bHLH,bHLH113
Zm00001d033407,bHLH,bHLH114
Zm00001d031167,bHLH,bHLH115
Zm00001d024522,bHLH,bHLH116
Zm00001d024783,bHLH,bHLH117
Zm00001d038357,bHLH,bHLH118
Zm00001d016257,bHLH,bHLH119
Zm00001d052038,bHLH,bHLH12
Zm00001d006065,bHLH,bHLH121
Zm00001d017724,bHLH,bHLH122
Zm00001d037528,bHLH,bHLH123
Zm00001d037749,bHLH,bHLH124
Zm00001d045212,bHLH,bHLH125
Zm00001d042062,bHLH,bHLH126
Zm00001d014814,bHLH,bHLH127
Zm00001d054038,bHLH,bHLH128
Zm00001d014995,bHLH,bHLH129
Zm00001d051509,bHLH,bHLH13
Zm00001d049294,bHLH,bHLH130
Zm00001d048478,bHLH,bHLH131
Zm00001d042482,bHLH,bHLH132
Zm00001d025727,bHLH,bHLH133
Zm00001d026046,bHLH,bHLH134
Zm00001d031781,bHLH,bHLH135
Zm00001d021019,bHLH,bHLH136
Zm00001d033848,bHLH,bHLH137
Zm00001d005740,bHLH,bHLH138
Zm00001d016095,bHLH,bHLH139
Zm00001d011187,bHLH,bHLH14
Zm00001d027419,bHLH,bHLH140
Zm00001d049158,bHLH,bHLH141
Zm00001d036807,bHLH,bHLH142
Zm00001d004095,bHLH,bHLH144
Zm00001d031717,bHLH,bHLH145
Zm00001d020932,bHLH,bHLH146
Zm00001d006733,bHLH,bHLH147
Zm00001d002288,bHLH,bHLH148
Zm00001d030028,bHLH,bHLH149
Zm00001d021988,bHLH,bHLH15
Zm00001d020705,bHLH,bHLH150
Zm00001d005964,bHLH,bHLH151
Zm00001d016873,bHLH,bHLH152
Zm00001d024781,bHLH,bHLH153
Zm00001d013357,bHLH,bHLH154
Zm00001d052254,bHLH,bHLH155
Zm00001d017908,bHLH,bHLH156
Zm00001d005969,bHLH,bHLH157
Zm00001d030972,bHLH,bHLH158
Zm00001d013073,bHLH,bHLH159
Zm00001d008174,bHLH,bHLH16
Zm00001d027987,bHLH,bHLH160
Zm00001d018119,bHLH,bHLH161
Zm00001d024679,bHLH,bHLH162
Zm00001d031044,bHLH,bHLH163
Zm00001d021701,bHLH,bHLH164
Zm00001d049870,bHLH,bHLH165
Zm00001d044216,bHLH,bHLH166
Zm00001d003677,bHLH,bHLH167
Zm00001d018416,bHLH,bHLH168
Zm00001d005919,bHLH,bHLH169
Zm00001d034503,bHLH,bHLH17
Zm00001d031818,bHLH,bHLH170
Zm00001d045046,bHLH,bHLH171
Zm00001d031665,bHLH,bHLH173
Zm00001d042263,bHLH,bHLH175
Zm00001d013370,bHLH,bHLH18
Zm00001d008444,bHLH,bHLH19
Zm00001d000236,bHLH,bHLH2
Zm00001d005841,bHLH,bHLH20
Zm00001d048229,bHLH,bHLH21
Zm00001d009715,bHLH,bHLH22
Zm00001d006110,bHLH,bHLH23
Zm00001d053391,bHLH,bHLH24
Zm00001d044242,bHLH,bHLH25
Zm00001d030971,bHLH,bHLH26
Zm00001d033870,bHLH,bHLH27
Zm00001d033413,bHLH,bHLH28
Zm00001d017778,bHLH,bHLH29
Zm00001d028297,bHLH,bHLH3
Zm00001d018056,bHLH,bHLH30
Zm00001d021172,bHLH,bHLH31
Zm00001d042373,bHLH,bHLH32
Zm00001d005939,bHLH,bHLH33
Zm00001d046096,bHLH,bHLH34
Zm00001d027546,bHLH,bHLH35
Zm00001d052192,bHLH,bHLH36
Zm00001d048786,bHLH,bHLH38
Zm00001d018967,bHLH,bHLH39
Zm00001d003964,bHLH,bHLH4
Zm00001d050394,bHLH,bHLH40
Zm00001d007311,bHLH,bHLH41
