Metabolite Class,Type,Gene Name,Order,Enzyme,B73 GeneID,Mo17 Syntelog,Mo17 Best Blast Hit,e-value,Percent Identity,B73 Expression Change,Mo17 Expression Change,Cluster
Ethylene,Biosynthesis,ACS1,1,1-aminocyclopropane-1-carboxylate synthase,Zm00001d039487,Zm00014a034156,Zm00014a034156,0,100,Increases,Increases,NA
Ethylene,Biosynthesis,ACS2,2,1-aminocyclopropane-1-carboxylate synthase,Zm00001d002592,Zm00014a003577,Zm00014a003577,0,96.35,Increases,Increases,NA
Ethylene,Biosynthesis,ACS6,3,1-aminocyclopropane-1-carboxylate synthase,Zm00001d033862,Zm00014a007493,Zm00014a007493,0,98.71,Increases,Increases,Cluster 10
Ethylene,Biosynthesis,ACCO2,4,1-aminocyclopropane-1-carboxylate oxidase,Zm00001d020686,Zm00014a018568,Zm00014a018568,0,98.23,Increases,NA,Cluster 21
Ethylene,Biosynthesis,ACCO3,5,1-aminocyclopropane-1-carboxylate oxidase,Zm00001d024852,Non-syntenic,Zm00014a015085,0,99.47,NA,Increases,NA
Ethylene,Biosynthesis,ACCO4,6,1-aminocyclopropane-1-carboxylate oxidase,Zm00001d024851,Non-syntenic,Zm00014a015081,0,93.25,NA,Increases,NA
Ethylene,Biosynthesis,ACCO15,7,1-aminocyclopropane-1-carboxylate oxidase,Zm00001d024853,Zm00014a015084,Zm00014a015084,0,93.78,Increases,NA,NA
Ethylene,Biosynthesis,ACCO20,8,1-aminocyclopropane-1-carboxylate oxidase,Zm00001d052136,Zm00014a008543,Zm00014a008543,0,100,Increases,NA,Cluster 14
Jasmonic Acid,Biosynthesis,LOX1,9,linoleate 9/13-lipoxygenase,Zm00001d042541,Zm00014a015290,Zm00014a015290,0,100,NS,Increases,Cluster 19
Jasmonic Acid,Biosynthesis,LOX8,10,linoleate 13s-lipoxygenase,Zm00001d003533,Zm00014a013421,Zm00014a013421,0,99,Increases,Increases,Cluster 10
Jasmonic Acid,Biosynthesis,AOS1a,11,allene oxide synthase,Zm00001d034186,Zm00014a002925,Zm00014a002925,0,99.49,Increases,Increases,Cluster 10
Jasmonic Acid,Biosynthesis,AOS2a,12,allene oxide synthase,Zm00001d028282,Zm00014a004739,Zm00014a004739,0,100,NS,Increases,Cluster 10
Jasmonic Acid,Biosynthesis,AOS2b,13,allene oxide synthase,Zm00001d048021,Zm00014a040667,Zm00014a040667,0,99.59,NS,Increases,Cluster 14
Jasmonic Acid,Inducible,F3H,14,flavanone 3-hydroxylase ,Zm00001d001960,Zm00014a043790,Zm00014a043790,0,96.07,Increases,Increases,Cluster 10
Jasmonic Acid,Inducible,JAZ4,15,ZIM domain containing protein ,Zm00001d027899,Zm00014a010332,Zm00014a010332,0,94.38,Increases,Increases,Cluster 14
Jasmonic Acid,Inducible,JAZ5,16,ZIM domain containing protein ,Zm00001d027901,Zm00014a010337,Zm00014a010337,0,98.17,Increases,Increases,Cluster 14
Jasmonic Acid,Inducible,JAZ6,17,ZIM domain containing protein ,Zm00001d048263,Non-syntenic,Zm00014a017898,0,96.19,Increases,Increases,NA
Jasmonic Acid,Inducible,JAZ7,18,ZIM domain containing protein ,Zm00001d014253,Zm00014a028132,Zm00014a028132,0,100,Increases,Increases,Cluster 10
Jasmonic Acid,Inducible,JAZ8,19,ZIM domain containing protein ,Zm00001d033050,Zm00014a040840,Zm00014a040840,0,100,Increases,Increases,Cluster 10
Jasmonic Acid,Inducible,JAZ10,20,ZIM domain containing protein ,Zm00001d020614,Zm00014a023069,Zm00014a023069,0,92.02,Increases,Increases,Cluster 10
Jasmonic Acid,Inducible,JAZ12,21,ZIM domain containing protein ,Zm00001d027900,Zm00014a010338,Zm00014a010338,0,95.97,Increases,Increases,Cluster 10
Jasmonic Acid,Inducible,LOX3,22,linoleate 9s-lipoxygenase,Zm00001d033623,Non-syntenic,Zm00014a003123,0,100,Increases,Increases,NA
Jasmonic Acid,Inducible,LOX4,23,linoleate 9s-lipoxygenase,Zm00001d033624,Non-syntenic,Zm00014a003124,NA,NA,NS,Increases,NA
Jasmonic Acid,Inducible,LOX6,24,linoleate 9s-lipoxygenase,Zm00001d002000,Non-syntenic,Zm00014a006790,0,98.47,NS,Increases,NA
Jasmonic Acid,Inducible,MPI,25,proteinase inhibitor ,Zm00001d011080,Zm00014a031011,Zm00014a031011,5.5 e-114,100,Increases,Increases,Cluster 10
Jasmonic Acid,Inducible,OPR3,26,12-oxo-phytodienoic acid reductase,Zm00001d037182,Zm00014a033341,Zm00014a033341,0,96.7,Increases,NS,NA
Jasmonic Acid,Inducible,OPR4,27,12-oxo-phytodienoic acid reductase,Zm00001d011097,Zm00014a041727,Zm00014a041727,0,99.48,NS,Increases,NA
Salicylic Acid,Inducible,PR4b,29,,Zm00001d048949,Non-syntenic,Zm00014a035617,0,98.17,Increases,Increases,NA
Salicylic Acid,Inducible,PR5,30,,Zm00001d031158,Non-syntenic,Zm00014a017877,0,99.03,Increases,Increases,NA
Salicylic Acid,Inducible,PRm6b,31,,Zm00001d040705,Non-syntenic,Zm00014a038520,0,99.91,Increases,NS,NA
