B73_V4_GeneID,Mo17_CAU_GeneID
Zm00001d027230,Zm00014a033463
Zm00001d027231,Zm00014a033456
Zm00001d027231,Zm00014a033448
Zm00001d027232,Zm00014a033455
Zm00001d027233,Zm00014a033460
Zm00001d027235,Zm00014a033462
Zm00001d027239,Zm00014a033453
Zm00001d027240,Zm00014a033452
Zm00001d027240,Zm00014a033461
Zm00001d027242,Zm00014a033451
Zm00001d027245,Zm00014a033460
Zm00001d027248,Zm00014a033456
Zm00001d027248,Zm00014a033448
Zm00001d027250,Zm00014a033457
Zm00001d027256,Zm00014a043284
Zm00001d027257,Zm00014a043283
Zm00001d027258,Zm00014a016756
Zm00001d027283,Zm00014a016013
Zm00001d027285,Zm00014a016011
Zm00001d027286,Zm00014a016009
Zm00001d027287,Zm00014a016006
Zm00001d027288,Zm00014a016005
Zm00001d027290,Zm00014a016003
Zm00001d027292,Zm00014a016002
Zm00001d027293,Zm00014a015997
Zm00001d027295,Zm00014a015999
Zm00001d027296,Zm00014a015996
Zm00001d027298,Zm00014a015995
Zm00001d027299,Zm00014a015994
Zm00001d027318,Zm00014a042143
Zm00001d027319,Zm00014a042135
Zm00001d027320,Zm00014a042144
Zm00001d027322,Zm00014a042136
Zm00001d027323,Zm00014a042137
Zm00001d027324,Zm00014a021401
Zm00001d027325,Zm00014a021402
Zm00001d027326,Zm00014a021409
Zm00001d027329,Zm00014a021405
Zm00001d027330,Zm00014a021406
Zm00001d027332,Zm00014a021411
Zm00001d027333,Zm00014a021408
Zm00001d027335,Zm00014a021420
Zm00001d027337,Zm00014a021412
Zm00001d027338,Zm00014a021413
Zm00001d027339,Zm00014a021421
Zm00001d027340,Zm00014a021414
Zm00001d027341,Zm00014a021422
Zm00001d027342,Zm00014a021423
Zm00001d027343,Zm00014a021415
Zm00001d027344,Zm00014a021416
Zm00001d027345,Zm00014a021424
Zm00001d027346,Zm00014a021417
Zm00001d027347,Zm00014a021425
Zm00001d027348,Zm00014a021419
Zm00001d027349,Zm00014a021426
Zm00001d027351,Zm00014a021427
Zm00001d027352,Zm00014a021428
Zm00001d027353,Zm00014a021442
Zm00001d027354,Zm00014a021429
Zm00001d027355,Zm00014a021430
Zm00001d027359,Zm00014a021443
Zm00001d027361,Zm00014a021432
Zm00001d027362,Zm00014a021433
Zm00001d027363,Zm00014a021445
Zm00001d027365,Zm00014a021434
Zm00001d027366,Zm00014a021446
Zm00001d027367,Zm00014a021435
Zm00001d027368,Zm00014a021436
Zm00001d027369,Zm00014a021437
Zm00001d027370,Zm00014a021439
Zm00001d027371,Zm00014a021440
Zm00001d027373,Zm00014a012777
Zm00001d027374,Zm00014a012783
Zm00001d027375,Zm00014a012778
Zm00001d027376,Zm00014a012784
Zm00001d027383,Zm00014a012780
Zm00001d027384,Zm00014a012781
Zm00001d027385,Zm00014a012785
Zm00001d027386,Zm00014a012786
Zm00001d027387,Zm00014a012787
Zm00001d027389,Zm00014a012791
Zm00001d027392,Zm00014a012792
Zm00001d027393,Zm00014a012793
Zm00001d027394,Zm00014a012794
Zm00001d027395,Zm00014a012795
Zm00001d027399,Zm00014a012796
Zm00001d027400,Zm00014a012800
Zm00001d027402,Zm00014a012799
Zm00001d027401,Zm00014a012801
Zm00001d027403,Zm00014a012802
Zm00001d027404,Zm00014a012803
Zm00001d027405,Zm00014a012804
Zm00001d027409,Zm00014a012806
Zm00001d027411,Zm00014a012811
Zm00001d027412,Zm00014a012812
Zm00001d027415,Zm00014a012815
Zm00001d027416,Zm00014a012822
Zm00001d027419,Zm00014a012818
Zm00001d027421,Zm00014a012824
Zm00001d027422,Zm00014a012825
Zm00001d027423,Zm00014a012826
Zm00001d027424,Zm00014a012820
Zm00001d027425,Zm00014a012827
Zm00001d027427,Zm00014a012831
Zm00001d027428,Zm00014a012839
Zm00001d027429,Zm00014a012832
Zm00001d027430,Zm00014a012833
Zm00001d027431,Zm00014a012834
Zm00001d027434,Zm00014a012835
Zm00001d027435,Zm00014a012836
Zm00001d027436,Zm00014a012837
Zm00001d027439,Zm00014a012838
Zm00001d027441,Zm00014a012842
Zm00001d027442,Zm00014a012849
Zm00001d027443,Zm00014a012850
Zm00001d027444,Zm00014a012843
Zm00001d027445,Zm00014a012844
Zm00001d027446,Zm00014a012845
Zm00001d027447,Zm00014a012851
Zm00001d027448,Zm00014a012846
Zm00001d027449,Zm00014a012847
Zm00001d027450,Zm00014a012852
Zm00001d027453,Zm00014a012854
Zm00001d027454,Zm00014a012848
Zm00001d027455,Zm00014a012855
Zm00001d027456,Zm00014a026311
Zm00001d027457,Zm00014a026310
Zm00001d027458,Zm00014a026309
Zm00001d027459,Zm00014a026308
Zm00001d027460,Zm00014a026318
Zm00001d027461,Zm00014a026316
Zm00001d027462,Zm00014a026305
Zm00001d027463,Zm00014a026315
Zm00001d027464,Zm00014a026314
Zm00001d027466,Zm00014a026304
Zm00001d027467,Zm00014a026313
Zm00001d027468,Zm00014a026312
Zm00001d027469,Zm00014a026300
Zm00001d027470,Zm00014a026296
Zm00001d027470,Zm00014a026296
Zm00001d027471,Zm00014a026299
Zm00001d027472,Zm00014a026295
Zm00001d027477,Zm00014a026294
Zm00001d027478,Zm00014a026293
Zm00001d027479,Zm00014a026292
Zm00001d027480,Zm00014a026297
Zm00001d027481,Zm00014a026291
Zm00001d027483,Zm00014a004049
Zm00001d027484,Zm00014a004050
Zm00001d027485,Zm00014a004047
Zm00001d027486,Zm00014a004051
Zm00001d027487,Zm00014a004052
Zm00001d027488,Zm00014a004048
Zm00001d027489,Zm00014a004053
Zm00001d027490,Zm00014a004054
Zm00001d027492,Zm00014a004055
Zm00001d027493,Zm00014a004056
Zm00001d027496,Zm00014a004057
Zm00001d027499,Zm00014a004058
Zm00001d027500,Zm00014a004059
Zm00001d027502,Zm00014a004060
Zm00001d027503,Zm00014a004067
Zm00001d027504,Zm00014a004068
Zm00001d027505,Zm00014a004069
Zm00001d027506,Zm00014a004061
Zm00001d027508,Zm00014a004062
Zm00001d027509,Zm00014a004063
Zm00001d027510,Zm00014a004070
Zm00001d027512,Zm00014a004080
Zm00001d027514,Zm00014a004081
Zm00001d027515,Zm00014a004073
Zm00001d027516,Zm00014a004075
Zm00001d027517,Zm00014a004077
Zm00001d027518,Zm00014a004083
Zm00001d027519,Zm00014a004078
Zm00001d027520,Zm00014a004079
Zm00001d027522,Zm00014a012443
Zm00001d027523,Zm00014a012442
Zm00001d027524,Zm00014a012441
Zm00001d027527,Zm00014a012433
Zm00001d027530,Zm00014a012429
Zm00001d027532,Zm00014a012436
Zm00001d027533,Zm00014a012435
Zm00001d027535,Zm00014a012427
Zm00001d027536,Zm00014a012426
Zm00001d027537,Zm00014a012425
Zm00001d027539,Zm00014a013087
Zm00001d027540,Zm00014a013086
Zm00001d027541,Zm00014a013085
Zm00001d027542,Zm00014a013084
Zm00001d027544,Zm00014a013083
Zm00001d027546,Zm00014a014835
Zm00001d027548,Zm00014a014830
Zm00001d027549,Zm00014a014836
Zm00001d027551,Zm00014a014837
Zm00001d027554,Zm00014a014833
Zm00001d027555,Zm00014a014839
Zm00001d027556,Zm00014a014840
Zm00001d027557,Zm00014a014850
Zm00001d027558,Zm00014a014851
Zm00001d027572,Zm00014a014845
Zm00001d027573,Zm00014a014854
Zm00001d027576,Zm00014a014846
Zm00001d027577,Zm00014a014855
Zm00001d027578,Zm00014a014862
Zm00001d027581,Zm00014a014863
Zm00001d027582,Zm00014a014869
Zm00001d027585,Zm00014a014864
Zm00001d027587,Zm00014a037493
Zm00001d027588,Zm00014a037494
Zm00001d027590,Zm00014a037500
Zm00001d027593,Zm00014a037501
Zm00001d027595,Zm00014a037495
Zm00001d027596,Zm00014a037502
Zm00001d027597,Zm00014a037496
Zm00001d027598,Zm00014a037504
Zm00001d027601,Zm00014a037507
Zm00001d027603,Zm00014a037505
Zm00001d027607,Zm00014a037508
Zm00001d027611,Zm00014a037506
Zm00001d027612,Zm00014a037515
Zm00001d027613,Zm00014a037516
Zm00001d027616,Zm00014a037510
Zm00001d027618,Zm00014a037511
Zm00001d027619,Zm00014a037512
Zm00001d027622,Zm00014a037514
Zm00001d027623,Zm00014a037517
Zm00001d027624,Zm00014a037518
Zm00001d027625,Zm00014a037520
Zm00001d027626,Zm00014a037521
Zm00001d027627,Zm00014a037519
Zm00001d027630,Zm00014a037523
Zm00001d027633,Zm00014a037529
Zm00001d027636,Zm00014a037530
Zm00001d027637,Zm00014a037532
Zm00001d027639,Zm00014a037536
Zm00001d027645,Zm00014a037544
Zm00001d027646,Zm00014a037537
Zm00001d027647,Zm00014a037546
Zm00001d027648,Zm00014a037547
Zm00001d027649,Zm00014a037539
Zm00001d027652,Zm00014a037549
Zm00001d027655,Zm00014a037541
Zm00001d027656,Zm00014a037542
Zm00001d027659,Zm00014a030734
Zm00001d027662,Zm00014a030733
Zm00001d027665,Zm00014a030731
Zm00001d027667,Zm00014a030727
Zm00001d027671,Zm00014a030725
Zm00001d027672,Zm00014a030730
Zm00001d027673,Zm00014a030722
Zm00001d027674,Zm00014a030721
Zm00001d027675,Zm00014a030720
Zm00001d027676,Zm00014a030724
Zm00001d027677,Zm00014a030719
Zm00001d027679,Zm00014a030717
Zm00001d027680,Zm00014a030716
Zm00001d027681,Zm00014a030707
Zm00001d027682,Zm00014a030706
Zm00001d027683,Zm00014a030714
Zm00001d027684,Zm00014a030705
