Gene Name,Order,B73 GeneID,Mo17 GeneID,Syntenic,Percent Protein Identity,B73 Husk-Encased vs Emerged Diff. Exp.,Mo17 Husk-Encased vs Emerged Diff. Exp.,Enzyme,Enzyme Class,Total Identities,Total Possible Identities,Gaps,Characterization,Cluster
PAL2,10,Zm00001d003016,Zm00014a029753,Yes,99.57%,Yes,Yes,Phenylalanine ammonia lyase,PAL ,700,703,0,MaizeGDB https://doi.org/10.1093/nar/gkh011,Cluster 4
PAL6,11,Zm00001d003015,Zm00014a029751,No,98.32%,Yes,No,Phenylalanine ammonia lyase,PAL ,703,715,2,MaizeGDB https://doi.org/10.1093/nar/gkh011,#N/A
PAL7,12,Zm00001d017279,Zm00014a010743,No,98.60%,Yes,No,Phenylalanine ammonia lyase,PAL ,705,715,1,MaizeGDB https://doi.org/10.1093/nar/gkh011,#N/A
SM1,13,Zm00001d037784,Zm00014a012629,Yes,99.85%,Yes,Yes,Rhamnose synthase,RHM,675,676,0,https://doi.org/10.1105/tpc.16.00003,Cluster 4
BZ1,14,Zm00001d045055,Zm00014a031193,Yes,91.30%,Yes,No,UDP-glycosyltransferase ,UGT,462,506,35,http://www.genetics.org/content/119/1/185.short,Cluster 4
SM2,16,Zm00001d006446,Zm00014a044445,Yes,99.77%,Yes,Yes,Rhamnosyl transferase,UGT,426,427,0,https://doi.org/10.1105/tpc.16.00003,Cluster 4
PL1,17,Zm00001d037118,Zm00014a003296,Yes,93.84%,Yes,Yes, R2R3-Myb Transcription factor,TF,259,276,14,https://doi.org/10.1105/tpc.5.12.1807,#N/A
B1,18,Zm00001d000236,Zm00014a019397,Likely,90.10%,Yes,No,bHLH Transcription factor,TF,519,576,37,https://doi.org/10.1105/tpc.1.12.1175,#N/A
A4,19,Zm00001d011438,Zm00014a041216,Yes,100%,No,Yes,Dihydroflavonol reductase,DFR ,361,361,0,https://doi.org/10.1046/j.1365-313X.1998.00142.x,#N/A
F3H,20,Zm00001d001960,Zm00014a043790,Yes,98.38%,Yes,Yes,Flavanone-3-beta-Hydroxylase,F3H ,365,371,5,https://doi.org/10.1046/j.1365-313X.1995.07050703.x,Cluster 10
FNSI1,21,Zm00001d029744,Zm00014a039352,Yes,92.27%,Yes,Yes,Flavone synthase,FNSI,334,362,26,https://doi.org/10.1104/pp.15.00515,Cluster 15
BZ2,22,Zm00001d032969,Zm00014a001095,Yes,96.61%,Yes,Yes,Glutathione S-transferase,GST,228,236,0,https://www.nature.com/articles/375397a0,Cluster 10
P1,1,Zm00001d028842,Zm00014a033257,No,99.60%,Yes,Yes, R2R3-Myb Transcription factor,TF,248,249,0,https://doi.org/10.1016/0092-8674(94)90117-1,#N/A
CGT1,2,Zm00001d037382,Zm00014a031308,Yes,98.94%,Yes,Yes,Bifunctional Flavonoid C- and O- glycosyltransferase,CGT,465,470,0,https://doi:10.1074/jbc.M113.510040,Cluster 4
CHI1,3,Zm00001d034635,Zm00014a002430,Yes,99.13%,Yes,Yes,Chalcone isomerase,CHI ,229,231,0,https://link.springer.com/article/10.1007/BF00277341,Cluster 6
C2,4,Zm00001d052673,Zm00014a043015,Yes,100%,Yes,No,Chalcone synthase,CHS ,400,400,0,https://link.springer.com/article/10.1007/BF00333955,Cluster 4
WHP1,5,Zm00001d007403,Zm00014a029415,No,99.75%,Yes,No,Chalcone synthase,CHS ,400,401,0,https://doi.org/10.1002/j.1460-2075.1991.tb07802.x,#N/A
A1,6,Zm00001d044122,Zm00014a011529,Yes,99.72%,Yes,No,Dihydroflavonol reductase,DFR ,356,357,0,https://doi.org/10.1002/j.1460-2075.1987.tb04752.x,Cluster 4
F2H1,7,Zm00001d047452,Zm00014a018256,Yes,99.81%,Yes,Yes,Flavanone 2-hydroxylase ,F2H,522,523,0,https://doi.org/10.1105/tpc.112.098004,Cluster 4
PR1,8,Zm00001d017077,Zm00014a039956,Yes,99.81%,Yes,No,Flavonoid-3'-hydroxylase,F3'H ,514,515,0,https://doi.org/10.1534/genetics.110.126136,Cluster 4
PAL1,9,Zm00001d017274,Zm00014a010744,No,100%,Yes,Yes,Phenylalanine ammonia lyase,PAL ,703,703,0,https://doi.org/10.1104/pp.113.1.175,#N/A
MRPA3,23,Zm00001d045269,Zm00014a033428,Yes,99.86%,Yes,Yes,ATP-binding cassette transporter,ABC,1446,1448,0,https://doi.org/10.1105/tpc.022574,Cluster 14
A2,24,Zm00001d014914,Zm00014a027648,Yes,98.23%,Yes,Yes,Leucoanthocyanidin dioxygenase,LDOX ,388,395,0,https://doi.org/10.1002/j.1460-2075.1990.tb07501.x,Cluster 10
CHI4,NA,Zm00001d018278,Zm00014a014795,Yes,91.97%,No,No,Chalcone isomerase,CHI,424,461,36,MaizeGDB https://doi.org/10.1093/nar/gkh011,Cluster 19
PAL5,NA,Zm00001d051163,Zm00014a036046,Yes,99.35%,No,No,Phenylalanine ammonia lyase,PAL ,461,464,0,MaizeGDB https://doi.org/10.1093/nar/gkh011,Cluster 19
CHI5,NA,Zm00001d016144,Zm00014a006539,Yes,97.97%,No,No,Chalcone isomerase,CHI,193,197,0,MaizeGDB https://doi.org/10.1093/nar/gkh011,Cluster 21
